10D,QS,5D,AS,KD,6H,KC,8D,6C,8S,QC,10S,5C,KS,3D,3S,2S,2D,JD,JH,7S,4S,JS,10H,3C,6S,6D,JC,7D,AD,2H,4C,8H,KH,9H,QH,2C,3H,5H,9S,10C,7H,8C,AH,4H,5S,AC,7C,9D,4D,QD,9C,
2C,2S,9H,10H,AD,9S,8D,10D,JC,6H,5S,3C,QH,QD,2D,7H,AS,3D,JD,7S,QC,8C,KD,9C,4S,AC,9D,8S,5C,2H,4C,QS,6D,5H,5D,4D,6C,3S,JS,3H,JH,KC,KH,7D,KS,10S,10C,6S,7C,8H,4H,AH,
KC,5C,2H,4C,JC,6D,10H,8D,7H,9S,KH,AD,AS,7S,2S,8S,9H,KS,KD,8C,QC,10D,5S,10S,2C,10C,3C,8H,4H,9D,9C,JS,5H,2D,6C,5D,QS,JD,AH,7D,3S,6S,QD,6H,AC,3H,JH,3D,7C,QH,4D,4S,
7S,QC,7D,4H,2S,AS,7H,4S,4D,5H,10D,3C,2C,6S,KC,6H,JC,AC,6C,JD,QH,4C,KS,5S,10H,2H,QS,JH,3S,QD,5D,5C,2D,9H,8D,3D,7C,8S,9S,9C,6D,10S,KD,3H,8C,8H,JS,AD,AH,10C,KH,9D,
9D,6S,10S,10D,7S,5H,4D,2H,KD,4C,5C,4S,QD,2C,8D,5D,8H,2S,KH,3H,8S,6H,AH,AS,5S,3D,7C,QH,9S,9C,AC,QS,10C,JH,JC,JD,6C,4H,JS,8C,AD,7D,7H,3C,KC,6D,3S,10H,2D,QC,KS,9H,
9D,2C,AD,JH,3H,KD,9H,2H,7H,QS,8D,10S,8H,6S,6H,9C,4S,3C,QH,QC,7S,KH,9S,JS,10C,AC,10H,4C,5H,KC,5C,3S,6C,KS,7D,QD,AH,2S,JC,6D,4D,JD,4H,8S,10D,8C,5S,7C,5D,2D,AS,3D,
9S,JC,7D,9D,KH,7H,6D,QS,AH,6S,JS,JH,7C,KC,KD,4D,8C,6H,10S,10C,AC,8S,6C,5C,8H,3C,4C,10H,5H,8D,9H,5D,JD,4H,2H,3S,AD,2C,2S,QH,2D,3H,QD,5S,4S,3D,AS,KS,9C,10D,QC,7S,
4C,8H,8C,9H,6H,5H,KH,KD,7S,AS,6D,KC,10S,JH,4H,10C,QS,JS,7D,QH,QC,2C,10D,JC,3H,2H,7C,7H,5D,5C,3S,9C,10H,4D,KS,2S,5S,4S,3C,3D,8S,6S,AH,9D,AC,8D,JD,AD,QD,2D,6C,9S,
2S,KD,6C,4D,4S,5C,JH,AD,8C,3C,4C,2H,3S,QC,QD,JS,3H,9D,JC,6D,8H,QS,7D,7C,5S,AH,2D,10S,9H,JD,8D,6S,10D,KS,KC,3D,AC,8S,9S,5H,5D,6H,10C,KH,9C,2C,10H,7S,QH,AS,4H,7H,
2D,3C,JS,2H,7S,8S,AH,9C,4C,4H,5D,10C,7D,8H,3H,9S,JD,6H,7C,6S,KS,KD,JH,8D,10S,9H,3D,5S,10D,5H,JC,8C,6D,QS,2C,QH,3S,2S,AC,QC,6C,AD,KH,4D,9D,QD,10H,AS,5C,7H,KC,4S,
9H,JH,6S,10D,7S,10H,3C,KS,4C,8C,10C,8S,5C,JS,5D,4S,KC,2S,QD,5H,10S,JD,3D,KH,6D,7C,QH,KD,9S,8D,3H,9C,5S,7H,3S,2C,AH,2D,2H,AC,9D,6H,AD,AS,8H,6C,4D,JC,7D,QC,4H,QS,
JS,6D,5C,7S,QC,7C,10D,AH,JD,8C,6H,4C,9S,8D,6C,KD,4S,3H,2H,AC,3S,QH,3D,5H,JH,5D,8H,6S,10H,10S,AS,10C,JC,9D,9H,KC,7D,9C,4H,KH,8S,3C,2D,5S,2C,4D,QS,AD,7H,KS,QD,2S,
10H,5S,3H,KC,8D,7H,6D,5C,KD,2S,4S,AD,9C,2C,JC,8H,9H,AH,6C,KS,QH,10S,4H,2H,8S,QC,7C,4C,7S,KH,3S,7D,9D,JS,5H,JH,2D,9S,QD,3C,10D,JD,5D,4D,QS,8C,3D,10C,6H,6S,AS,AC,
8S,8C,AS,3H,4C,8D,2H,9H,6C,9D,QH,KH,7D,KS,3D,2S,3S,JH,9C,7H,QC,KC,10D,2C,7S,10C,4H,QD,7C,4S,6S,5H,KD,4D,5S,AC,8H,10S,9S,6D,QS,5C,JD,JC,6H,JS,AD,AH,10H,2D,5D,3C,
5S,JS,7D,7S,KH,9C,6C,9D,5H,KC,QC,QH,7H,JC,AS,5C,JD,QD,6D,3C,3D,3S,4S,10D,JH,9H,KD,8H,8S,4D,8C,6S,2D,KS,4H,2S,7C,3H,4C,10C,AC,QS,2C,8D,AD,2H,10S,9S,6H,AH,10H,5D,
KH,7S,2S,9H,5D,JH,10C,7D,QD,8C,6D,AH,5C,KS,6H,4H,QH,5S,KC,4C,9C,8H,2C,9D,2D,9S,8D,JC,7H,3D,AD,QS,2H,6C,3C,JD,3H,7C,AS,10D,5H,AC,3S,6S,10S,JS,KD,4D,4S,10H,QC,8S,
AC,2C,2S,AH,8D,8H,7C,5S,QD,10C,JH,10D,8S,QH,4D,9D,10H,JC,7H,9C,9S,4C,QS,3C,6C,KH,8C,9H,2H,AD,7S,2D,6S,7D,5H,6D,3S,JS,4S,QC,KS,5C,10S,KD,JD,4H,KC,5D,AS,3D,3H,6H,
9S,4S,7S,QH,2D,6D,6H,9H,10D,8D,5H,AH,7D,4C,QC,5D,JD,7C,5S,JH,8H,AD,10C,2H,5C,3C,KS,3S,2S,7H,4H,10H,QS,3H,JS,9C,9D,4D,6C,AS,AC,JC,6S,KC,KD,8S,KH,8C,3D,QD,2C,10S,
AH,7S,KD,7H,JD,2S,8D,8C,QS,6S,4D,5S,AD,6C,8S,4H,5C,4S,6D,2D,KS,7C,9H,10C,4C,3D,8H,5D,6H,JC,QD,2C,JH,9S,9C,KC,7D,KH,AC,5H,JS,9D,10H,2H,3C,3S,10D,AS,QC,QH,10S,3H,
9D,8H,5S,JD,9S,3H,2C,AD,8C,4S,6D,8S,7C,AC,5D,JC,AS,QD,9H,9C,10H,10C,QS,AH,5C,JS,8D,6S,7S,6C,QC,KC,10D,3D,4D,2D,3C,KD,4C,7H,10S,JH,KS,3S,2S,QH,7D,5H,4H,2H,6H,KH,
8H,5H,2D,8S,KH,5S,3D,KC,5D,QS,9D,2S,AH,8D,6D,JD,3C,2H,JH,AD,10C,KD,3S,4C,10S,4D,7D,10D,QH,QC,7C,5C,6S,10H,7H,AC,6H,7S,KS,4S,QD,6C,2C,9H,JC,9C,AS,JS,9S,3H,4H,8C,
10H,QH,3H,8C,4C,KS,8D,5S,9H,8S,7S,2H,QD,7D,6D,5D,9C,5H,2S,4D,4H,3S,AS,KH,6S,9S,9D,KC,KD,JD,3C,3D,10S,10D,QS,2D,AC,8H,6C,7H,AH,4S,2C,JC,QC,5C,10C,JS,6H,7C,AD,JH,
JD,KH,6S,QD,10C,4S,KC,JC,7S,KD,2S,4H,7D,8S,7H,8C,3S,7C,5C,4D,10D,QH,3C,6D,AS,10S,2C,4C,AH,QS,3H,3D,2H,6C,5S,KS,8H,AC,9C,10H,9D,QC,2D,9S,JH,AD,9H,6H,8D,5H,5D,JS,
10S,AC,4H,AS,6D,7S,2D,8S,9D,10D,8D,10H,7C,5H,8C,3D,QD,KH,KD,QH,QS,4D,QC,JC,3S,KS,8H,JS,2H,7H,4S,3C,5S,9C,3H,2S,9S,KC,AD,4C,JH,9H,2C,5D,AH,5C,6H,JD,7D,10C,6S,6C,
8S,JH,KD,KC,8H,8D,QD,7S,10H,QS,3D,10S,5C,6S,6C,AS,2C,6D,7H,KH,2S,AH,AC,4H,5S,AD,KS,4D,9D,10C,JD,9H,7D,QH,5D,9S,QC,9C,4S,4C,8C,JC,5H,JS,3H,2H,7C,3S,10D,2D,3C,6H,
KH,2D,6D,JS,10D,4S,3D,9H,AH,AS,8C,JH,5C,2H,10H,4C,2C,4H,7S,2S,10C,7C,5D,JC,JD,AD,8S,AC,QH,QS,10S,QC,5H,3H,KS,KD,8D,3C,QD,9S,4D,7H,6C,6S,8H,KC,5S,9C,9D,6H,7D,3S,
QC,7S,7H,AC,9S,QH,9H,6C,9D,KH,5H,QS,4S,8S,4C,3D,JD,6D,8H,AH,4H,10D,JC,3H,2D,7D,9C,AS,5D,8C,5C,8D,10C,2C,QD,AD,KS,6S,2S,KC,2H,10H,3C,6H,JS,5S,KD,3S,7C,4D,10S,JH,
2C,2S,9D,6D,4S,5D,JD,3S,4C,8S,3C,AC,8H,3D,9C,10D,QC,2D,4H,KH,9S,QD,6H,5C,5S,7C,AS,6S,10H,KC,9H,QH,5H,7D,JC,8C,AH,10S,7H,7S,2H,8D,4D,KS,6C,3H,AD,QS,10C,JS,JH,KD,
JC,9H,3S,KD,7H,QS,9C,5S,8H,3C,6H,3H,10D,6D,7S,4S,8C,7C,8D,2H,3D,AD,JH,QH,AS,7D,2S,5H,KC,8S,10S,6C,KH,AH,5C,4H,KS,AC,2D,4C,4D,JD,JS,5D,QC,9D,10C,QD,6S,9S,10H,2C,
KD,4D,KS,5S,6D,10S,9C,JS,3D,7S,AC,JH,2S,9D,8D,AS,3C,5H,7D,KH,6S,9S,6H,8H,2D,8C,9H,QS,8S,3H,7H,10H,4S,2C,QH,5C,JD,5D,10C,10D,QC,2H,3S,4H,QD,4C,AD,JC,7C,AH,KC,6C,
AS,KC,QC,AH,10D,6S,10C,JD,2S,KS,7H,7S,6H,9C,4H,3S,QD,QH,QS,3C,KD,5H,3H,8S,4D,6D,AC,JS,7C,10S,5D,2H,8H,8D,AD,5C,5S,2C,KH,4C,JC,6C,2D,JH,9S,9D,4S,7D,9H,10H,3D,8C,
8S,7H,AD,10S,10C,3H,6H,AS,AC,10D,QS,JD,4H,2H,2S,6C,5S,AH,8H,JH,5C,9C,6S,5H,6D,KH,4C,3C,JC,10H,KC,QC,JS,7D,QH,9S,QD,9H,KD,2D,7C,4S,4D,8D,8C,7S,3D,2C,KS,9D,3S,5D,
2H,6S,10C,AS,6H,QC,JC,QS,KS,7C,6C,9S,AC,3C,9C,4H,3D,KD,2C,5C,6D,JS,KC,7S,2S,7H,QD,4C,8H,QH,4S,10H,10D,3H,9D,8D,AH,4D,5D,2D,AD,7D,10S,JH,8C,JD,5H,8S,9H,3S,5S,KH,
6D,5H,QS,3H,AC,4D,3C,6C,3D,2C,7C,4C,10S,8H,QH,KD,6S,5C,KC,9D,10D,2S,AS,JD,KH,JS,4S,QD,5S,7D,8C,KS,6H,9H,9C,QC,2D,8S,9S,4H,JH,8D,7S,10H,3S,7H,AH,10C,AD,JC,5D,2H,
AD,4D,AC,4S,9D,5S,3C,10D,3S,2C,8D,AS,6D,6S,4H,7C,2S,AH,9S,JD,2H,8H,6C,9C,10H,8S,9H,7H,KC,QD,KD,5C,7S,QC,10C,2D,JC,QS,JH,JS,KS,KH,QH,3H,5D,4C,8C,6H,3D,7D,10S,5H,
10H,10S,JH,9D,JS,4S,8C,JC,KD,9S,7C,KH,2D,2S,6C,8D,5S,3D,6S,9C,7S,3S,7H,QC,4D,AD,5D,AS,KS,3C,AC,9H,2H,6D,5C,5H,2C,3H,QH,6H,10D,8S,4H,4C,7D,KC,JD,QD,AH,8H,10C,QS,
10H,10D,9H,6C,7C,QH,4S,7H,JH,QC,2D,3C,4D,6D,QS,9S,9C,6H,2H,2C,AD,KS,KH,JC,5C,JS,7S,8H,10C,5D,8S,3H,QD,AC,2S,8D,9D,AH,6S,KD,4C,8C,3S,7D,3D,KC,5S,AS,5H,JD,10S,4H,
8H,10H,AC,KS,2H,10C,JH,5C,KC,2S,8D,6S,4H,3S,8S,9H,AS,7H,9D,QS,10D,2D,QC,4S,JS,3C,3D,9S,3H,8C,QD,6H,4C,6C,JD,5S,JC,7D,9C,10S,KD,7C,AD,7S,5D,KH,4D,2C,6D,AH,5H,QH,
6S,9H,3H,AH,5H,4D,KD,QS,7S,2H,5C,4H,AS,QC,8C,10C,AC,AD,KC,4S,JH,8D,7C,2D,7H,3D,JD,3C,KS,7D,9C,6C,10H,JC,10S,JS,QH,10D,KH,QD,6H,4C,2C,8H,9D,6D,2S,8S,5D,5S,3S,9S,
QH,5H,QC,8D,JC,AC,4D,2H,4H,10D,JH,KD,QS,5C,2S,9H,JS,2C,KC,AD,3C,7D,9C,9D,KS,AS,6D,8H,10H,2D,6S,8S,9S,7C,10S,10C,7S,4C,3H,JD,7H,4S,5S,3D,6C,5D,3S,KH,AH,6H,8C,QD,
QD,4D,AS,9C,2H,KC,4S,AC,KS,4H,5S,QS,5H,2D,7D,QC,9H,7H,6D,KD,8C,10H,9S,JC,6C,8H,2C,8S,AH,AD,JD,2S,3D,6S,5D,3C,10S,3H,5C,KH,7S,8D,7C,10D,4C,6H,JH,JS,9D,10C,3S,QH,
4S,3S,AH,5S,9D,JS,7S,5H,6H,AC,6C,AD,JH,9H,4H,4D,7D,6D,QD,2C,5C,8D,KH,8H,7C,5D,9C,10D,6S,AS,7H,2S,3C,KC,8C,QH,KS,QS,2D,QC,10S,9S,2H,10C,4C,10H,KD,3H,JC,8S,3D,JD,
3H,JC,7S,6C,2C,9C,4C,4D,9D,5H,6S,9H,AS,10C,KD,10H,KC,5C,3D,7D,6H,QC,10S,6D,JS,2H,3C,KS,AH,AD,5S,8H,8D,8C,5D,8S,4H,QH,QD,2S,AC,3S,9S,10D,2D,KH,QS,7C,7H,4S,JD,JH,
AD,4H,2C,3H,7S,KS,5S,8H,QC,6H,10H,8S,7C,AC,7H,8C,QS,5H,JC,9D,6D,JH,9C,JS,QH,10C,AS,4C,KH,2D,6S,5D,9H,KD,2H,AH,QD,10S,6C,10D,9S,3D,JD,5C,KC,2S,7D,4S,8D,3S,4D,3C,
7H,AD,3C,8C,7C,7D,9H,4H,9D,5C,3D,KS,JC,3S,6S,2H,9C,8S,10C,9S,10D,2C,4C,KD,8H,QH,8D,AH,KC,4S,10H,KH,AS,6D,JD,2S,4D,5S,6H,QS,6C,5H,JS,AC,3H,QC,QD,5D,JH,7S,10S,2D,
JD,QC,2C,AD,AH,2S,4D,KS,4H,KC,6D,10S,8S,KD,9H,6C,8D,3D,10H,7S,7H,KH,5H,QD,8C,AC,5C,3H,JC,8H,7D,QH,QS,5S,9D,5D,2D,6S,10C,3S,4C,2H,10D,6H,7C,9C,4S,JH,AS,JS,9S,3C,
AD,JD,QS,KD,7H,4H,8S,3H,AC,2H,7S,10D,4C,KC,2S,3S,8C,3C,KH,JS,6H,JH,AH,5D,9D,9H,3D,10C,4D,JC,9S,7D,7C,5S,QH,8H,10S,2C,4S,6D,QD,6S,8D,5C,9C,KS,6C,AS,10H,5H,QC,2D,
AD,7C,9C,JC,5S,10C,7D,JH,KD,3D,4C,AH,AC,8S,5C,9S,10S,7S,8C,6D,QS,10H,QD,2C,2S,KC,3H,7H,6H,2D,4S,4D,KH,8H,9H,4H,JS,3S,3C,AS,9D,5D,QC,QH,10D,6S,6C,5H,2H,JD,8D,KS,
KH,5H,10C,7S,10H,10D,5S,9D,2C,AD,6C,JD,3S,8C,KD,8H,7D,8S,3C,AC,7C,JC,KS,3D,AS,4D,2D,9S,7H,3H,JH,4S,JS,5C,4C,6D,9H,9C,10S,KC,2S,8D,AH,QS,5D,QC,6H,QD,2H,QH,6S,4H,
AH,KH,QS,2D,3C,2C,4D,3D,JH,JD,8D,10C,AS,JC,9H,KS,5D,7C,6S,QD,3S,QC,3H,9D,8H,2H,7D,5H,4C,10D,9C,QH,AD,KD,KC,10H,5S,4H,8C,2S,7S,6H,8S,5C,7H,9S,AC,10S,6D,JS,6C,4S,
3D,7H,6H,AC,KD,QD,4S,AH,QC,3C,JD,10D,KH,AD,6S,4D,5H,QS,7C,10C,QH,KC,JH,9D,4C,7S,8S,2D,JC,8H,KS,3S,10S,8C,5C,6C,5S,2C,7D,3H,9C,4H,5D,2H,AS,2S,9S,10H,6D,8D,JS,9H,
10C,5C,6D,4D,8H,QC,10D,8C,9S,AD,7S,2C,QD,5D,KS,10S,5S,6S,7H,8D,KC,6H,3H,JH,AC,4H,3D,2D,5H,QH,7D,2H,9D,4C,AH,9C,KD,10H,AS,JS,9H,4S,KH,JD,6C,QS,3S,7C,2S,JC,3C,8S,
KH,AS,7S,4H,10D,QD,5D,2D,7C,4C,JH,6S,5C,KD,4S,5H,6C,10C,AH,2S,3S,6D,2C,QH,QS,7D,8H,5S,8D,QC,AC,9D,3D,8S,3H,JD,AD,KS,10S,3C,10H,9C,JC,4D,7H,9S,6H,9H,2H,JS,KC,8C,
QD,3D,3C,7D,6D,2C,6S,5C,AC,9C,KC,8S,10D,8D,10C,6C,2D,QS,3S,10H,2S,5H,4D,6H,8H,JH,4H,4C,7H,AD,8C,9D,JC,5S,4S,7S,9S,KH,KS,9H,AS,JS,KD,QH,5D,10S,JD,AH,2H,7C,QC,3H,
9C,6H,5C,4S,7C,KD,3C,AD,5S,5D,9D,10H,4D,AS,JH,KH,JC,2S,AH,7H,2D,3H,5H,JS,QC,7S,KC,4H,10D,AC,6S,KS,8D,10S,8S,QH,10C,JD,9S,3S,3D,QD,6C,2C,4C,QS,2H,8H,9H,7D,6D,8C,
5S,AS,4S,9C,6H,10S,3H,4C,9H,KC,3S,4D,QC,2H,8D,2S,5H,JC,7C,2D,7S,7H,7D,2C,10C,9D,8S,3C,8H,KH,JH,4H,JS,KD,JD,6D,AD,3D,6C,AC,8C,10D,5D,5C,9S,AH,QH,6S,QD,KS,10H,QS,
AS,6H,8H,8D,KC,7D,QS,3H,4D,KD,7C,JS,AH,10D,4C,8S,AD,9D,10C,7H,JH,3S,7S,3C,JC,8C,4S,6D,5D,9S,10H,QD,3D,9C,10S,5H,5C,6S,AC,KS,2D,6C,9H,2C,2S,2H,QC,4H,KH,5S,JD,QH,
7H,5H,5D,AS,AD,3C,3H,QH,KD,7S,AC,6H,9C,KC,4C,8C,5C,AH,10H,5S,6C,4D,QC,10C,QD,JS,2H,6D,3S,KH,4H,KS,JC,8S,3D,9S,8D,QS,10S,8H,7D,7C,2C,2S,2D,6S,9H,4S,10D,9D,JD,JH,
8H,9C,6H,AD,2H,QH,JH,2S,9S,3H,AS,7S,10H,5H,6S,8S,3D,5D,3C,7H,7D,10D,6D,8C,6C,5S,3S,KC,JC,4C,5C,QS,JS,KS,AH,JD,9D,4D,7C,2C,9H,KD,4S,2D,QC,4H,10S,KH,8D,QD,AC,10C,
QC,KS,2D,KD,7C,4C,AH,9S,4S,JD,KC,5H,6D,QS,QH,10H,5D,7H,KH,8D,6S,4D,3C,6C,8C,9H,AS,10S,7S,JC,QD,3S,8H,3D,8S,AC,JH,9C,6H,2H,7D,3H,5C,2S,9D,2C,10D,AD,10C,4H,JS,5S,
9H,3S,8C,9S,JD,QD,JS,KC,6H,2S,4D,7H,7S,6D,AC,AD,6C,3D,7D,8S,10C,4H,4C,3C,QS,10D,JH,10S,10H,QH,8D,8H,5H,KD,2H,5C,6S,7C,5S,2D,9C,JC,QC,AH,2C,AS,3H,4S,9D,KS,KH,5D,
QC,6C,QD,5S,2S,AH,AD,9S,AC,9D,4C,9H,KC,10S,JD,7S,7H,8H,7C,2D,8D,8S,QS,JH,JC,5C,AS,3C,JS,3H,8C,9C,3S,6D,2C,3D,4D,6S,2H,QH,5D,KH,10C,KS,5H,10H,6H,7D,KD,4H,10D,4S,
AH,JH,8C,2D,4D,7C,7H,10S,JS,5S,JD,10C,3S,AS,2S,QC,5D,QS,QH,9D,3D,KD,9H,6S,AC,6H,8H,8D,7S,5C,2C,KS,7D,4S,KH,5H,10D,8S,3H,9S,QD,2H,3C,10H,6C,6D,9C,4H,4C,KC,AD,JC,
6S,7D,4D,6C,7S,QD,10C,7H,AS,9D,2C,3D,6H,3S,5D,3H,4C,KH,3C,JD,9C,8D,4S,5S,AD,2D,5C,7C,QC,9S,10S,10D,JH,8H,KD,6D,8S,QH,4H,8C,JC,AC,QS,2H,10H,JS,9H,2S,KC,AH,KS,5H,
4D,6D,5H,6S,7S,QD,8H,10S,2D,9C,8D,KH,9S,2H,6C,10C,3S,2S,6H,9D,4C,JD,QC,7C,JS,AH,3D,5C,JC,2C,AC,4H,JH,3C,5S,QS,10H,AD,8S,KC,QH,10D,4S,9H,KS,7H,8C,AS,5D,KD,3H,7D,
7S,KC,9D,8D,4H,AC,8H,10C,JS,QH,6S,2C,4S,5S,3C,7H,7C,KH,6H,6C,3S,8S,3H,JH,2S,5H,AH,5D,KS,KD,3D,AS,4D,10H,QC,8C,JC,2H,4C,9S,AD,9H,10S,QD,9C,6D,7D,10D,2D,JD,QS,5C,
JH,2S,8D,QC,AS,JC,6C,2C,6H,KD,7C,6S,3D,4S,10S,8C,7D,5S,7H,3S,KS,9S,4C,10D,9H,JD,KH,4D,10C,JS,3H,QS,AH,AC,AD,4H,3C,5C,8S,QD,6D,KC,9D,QH,5H,2H,7S,2D,5D,8H,10H,9C,
JS,7H,3S,JH,4S,AH,8S,8C,JD,10H,3D,5S,KH,2C,2D,9C,6S,4C,KS,2H,7S,7D,3H,4H,KD,9D,5D,AD,QD,4D,6C,5C,AC,KC,10S,9S,10D,10C,AS,6D,QH,6H,8H,QS,QC,7C,8D,5H,2S,JC,9H,3C,
9H,5H,5C,7D,8S,QS,KS,AC,9C,KH,6D,QD,7C,8H,4C,10C,7S,JS,5D,AS,QH,4D,QC,8C,3C,10S,2S,JH,7H,9D,8D,AD,6C,KD,JC,KC,5S,10D,2D,2C,6H,3H,3S,AH,9S,4H,2H,3D,6S,JD,10H,4S,
5D,7H,AS,7S,9H,5S,6C,QH,6D,QD,AD,8C,KC,7D,5H,9D,5C,AC,QC,4C,KD,2S,4H,8S,3H,7C,JD,4S,3D,KH,KS,8H,2D,JH,9C,9S,10H,2H,3S,10D,3C,6S,JC,4D,JS,6H,10S,2C,AH,QS,10C,8D,
AC,QD,3D,KD,4H,AH,9D,AS,2D,KS,5S,8H,KC,2S,KH,6H,4C,7S,8C,JD,10C,2C,3C,7D,5C,10H,4S,7H,JC,5D,9C,AD,QC,7C,10S,9H,10D,4D,JH,6C,QS,6D,QH,8D,5H,9S,2H,6S,8S,JS,3S,3H,
KD,8S,KC,3C,4S,JH,10D,QC,5D,AH,4D,2S,9S,6H,5H,6D,JS,10C,3H,QS,4C,AC,6S,5C,AS,10H,8D,AD,2C,QH,KH,8C,3D,7D,5S,3S,10S,6C,JD,9D,4H,9H,2D,KS,JC,2H,7C,7H,8H,7S,QD,9C,
2H,9H,KH,8D,4H,2C,8C,2D,4D,5H,5S,4S,3C,9S,KS,10H,JS,3H,10C,8S,6H,3D,2S,10D,7S,AC,KD,QC,7C,5D,7D,AD,JD,8H,3S,6D,10S,JC,6S,QD,AH,7H,9D,QH,4C,JH,6C,9C,AS,KC,5C,QS,
